mnth,hr,holiday,weekday,workingday,temp,atemp,hum,windspeed,weekend,sensation,peak_hr,season_1,season_2,season_3,season_4,weathersit_1,weathersit_2,weathersit_3,weathersit_4
9,19,0,2,1,0.58,0.5455,0.88,0.0,0,1.4255,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,23,0,0,0,0.72,0.6818,0.7,0.1642,1,1.3818,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,8,0,0,0,0.34,0.3333,0.76,0.194,1,1.0933,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,11,0,1,1,0.42,0.4242,0.77,0.1045,0,1.1942,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,12,0,2,1,0.4,0.4091,1.0,0.0896,0,1.4091,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,11,0,2,1,0.58,0.5455,0.83,0.1343,0,1.3755,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,10,0,6,0,0.4,0.4091,0.58,0.0,1,0.9891,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12,1,0,2,1,0.42,0.4242,0.82,0.1045,0,1.2442,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5,4,0,1,1,0.44,0.4394,0.77,0.1642,0,1.2094,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,14,0,4,1,0.62,0.6212,0.5,0.2985,0,1.1212,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10,10,0,1,1,0.4,0.4091,0.66,0.1045,0,1.0691000000000002,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,9,0,6,0,0.64,0.5909,0.78,0.2985,1,1.3709,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,10,0,6,0,0.36,0.3485,0.57,0.1642,1,0.9184999999999999,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,3,0,4,1,0.5,0.4848,0.77,0.1045,0,1.2548,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,18,0,4,1,0.28,0.2727,0.52,0.2239,0,0.7927,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,12,0,2,1,0.54,0.5152,0.39,0.3582,0,0.9052,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,5,0,1,1,0.56,0.5303,0.83,0.0,0,1.3603,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,1,0,2,1,0.42,0.4242,0.71,0.4478,0,1.1341999999999999,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,0,0,2,1,0.56,0.5303,0.73,0.1343,0,1.2603,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,6,0,2,1,0.32,0.3182,0.81,0.194,0,1.1282,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4,14,1,5,0,0.54,0.5152,0.52,0.2537,0,1.0352000000000001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,13,0,6,0,0.22,0.2121,0.44,0.2836,1,0.6521,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,15,0,1,1,0.84,0.7424,0.36,0.194,0,1.1023999999999998,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,21,0,5,1,0.7,0.6515,0.65,0.194,0,1.3014999999999999,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,6,0,6,0,0.54,0.5152,0.94,0.0,1,1.4552,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,0,1,1,0.26,0.2879,0.65,0.0896,0,0.9379,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,7,0,1,1,0.64,0.5909,0.78,0.1045,0,1.3709,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,8,0,6,0,0.22,0.2273,0.44,0.1343,1,0.6673,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,17,1,1,0,0.42,0.4242,0.66,0.2537,0,1.0842,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,18,0,2,1,0.64,0.6061,0.25,0.2836,0,0.8561,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,21,0,3,1,0.72,0.6515,0.39,0.2239,0,1.0415,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,20,0,1,1,0.56,0.5303,0.49,0.2239,0,1.0203,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,14,0,6,0,0.7,0.6515,0.61,0.2985,1,1.2614999999999998,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,0,1,1,0.18,0.2424,0.86,0.0,0,1.1024,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0,0,0,0,0.58,0.5455,0.53,0.1045,1,1.0755,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,3,0,1,1,0.66,0.6061,0.83,0.0,0,1.4361,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,0,0,0,0,0.3,0.303,0.7,0.1642,1,1.003,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,19,0,0,0,0.5,0.4848,0.29,0.3582,1,0.7747999999999999,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,4,0,6,0,0.3,0.2727,0.42,0.3284,1,0.6927,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,22,0,2,1,0.52,0.5,0.77,0.1642,0,1.27,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,17,0,0,0,0.38,0.3939,0.66,0.2537,1,1.0539,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,8,0,3,1,0.64,0.6061,0.73,0.0896,0,1.3361,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,10,0,3,1,0.6,0.5909,0.73,0.2836,0,1.3209,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,12,0,2,1,0.84,0.8182,0.56,0.0896,0,1.3782,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,1,0,4,1,0.26,0.2424,0.6,0.2836,0,0.8424,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,18,0,3,1,0.32,0.3333,0.66,0.1343,0,0.9933000000000001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,5,0,5,1,0.62,0.5455,0.94,0.1343,0,1.4855,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,23,0,0,0,0.46,0.4545,0.88,0.3582,1,1.3345,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,19,0,3,1,0.46,0.4545,0.88,0.3881,0,1.3345,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,20,0,3,1,0.54,0.5152,0.73,0.2836,0,1.2452,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,2,0,3,1,0.5,0.4848,0.94,0.3582,0,1.4247999999999998,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,13,0,6,0,0.94,0.8788,0.38,0.1642,1,1.2588,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,19,0,4,1,0.3,0.303,0.87,0.1343,0,1.173,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,16,0,2,1,0.74,0.6667,0.45,0.194,0,1.1167,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,6,0,1,1,0.66,0.6212,0.61,0.2985,0,1.2311999999999999,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,15,0,0,0,0.44,0.4394,1.0,0.2239,1,1.4394,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,12,0,5,1,0.24,0.2424,0.48,0.1642,0,0.7223999999999999,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,22,0,0,0,0.38,0.3939,0.62,0.1045,1,1.0139,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,20,0,5,1,0.22,0.2273,0.55,0.1343,0,0.7773000000000001,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,18,0,2,1,0.5,0.4848,0.42,0.1642,0,0.9048,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,3,0,0,0,0.3,0.2879,0.36,0.2239,1,0.6478999999999999,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,5,0,2,1,0.52,0.5,0.72,0.0896,0,1.22,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,11,0,4,1,0.66,0.6212,0.57,0.2537,0,1.1911999999999998,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,6,0,4,1,0.22,0.2121,0.55,0.2985,0,0.7621,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,5,0,1,1,0.62,0.5758,0.83,0.1343,0,1.4058,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1,0,1,1,0.34,0.303,0.87,0.3582,0,1.173,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,12,1,1,0,0.86,0.803,0.47,0.1045,0,1.2730000000000001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,5,0,0,0,0.66,0.5909,0.89,0.0,1,1.4809,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,10,0,3,1,0.4,0.4091,0.37,0.3881,0,0.7791,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,14,1,2,0,0.38,0.3939,0.46,0.2985,0,0.8539,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,7,0,3,1,0.6,0.5758,0.78,0.0,0,1.3558,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,9,0,0,0,0.38,0.3939,0.76,0.2239,1,1.1539,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,5,0,2,1,0.32,0.3182,0.81,0.194,0,1.1282,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,23,0,4,1,0.62,0.5758,0.83,0.0896,0,1.4058,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,19,0,0,0,0.5,0.4848,0.42,0.1642,1,0.9048,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,18,0,3,1,0.78,0.6818,0.38,0.2537,0,1.0617999999999999,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,22,0,5,1,0.3,0.303,1.0,0.1343,0,1.303,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,10,0,2,1,0.3,0.303,0.52,0.1642,0,0.823,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5,21,0,1,1,0.64,0.5758,0.89,0.2239,0,1.4658,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,22,0,6,0,0.44,0.4394,0.67,0.1045,1,1.1094,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,6,0,2,1,0.54,0.5152,0.88,0.194,0,1.3952,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,11,0,4,1,0.54,0.5152,0.88,0.1642,0,1.3952,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,17,0,5,1,0.36,0.3333,0.5,0.2537,0,0.8332999999999999,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,0,4,1,0.36,0.3485,0.93,0.2537,0,1.2785,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,23,0,0,0,0.12,0.1364,0.5,0.194,1,0.6364,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,3,1,0.08,0.0606,0.42,0.3284,0,0.48059999999999997,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,8,0,5,1,0.7,0.6515,0.65,0.2239,0,1.3014999999999999,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,15,0,4,1,0.34,0.303,0.49,0.4478,0,0.7929999999999999,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,8,0,4,1,0.14,0.1212,0.39,0.2985,0,0.5112,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0,0,3,1,0.52,0.5,0.77,0.1642,0,1.27,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,6,0,5,1,0.22,0.2727,0.8,0.0,0,1.0727,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,10,0,3,1,0.76,0.7273,0.7,0.1642,0,1.4272999999999998,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,11,0,5,1,0.76,0.7121,0.62,0.0,0,1.3321,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,10,0,3,1,0.56,0.5303,0.52,0.2985,0,1.0503,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,14,0,2,1,0.62,0.6212,0.41,0.1642,0,1.0312,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1,0,5,1,0.42,0.4242,0.82,0.3284,0,1.2442,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,19,0,3,1,0.38,0.3939,0.43,0.1642,0,0.8239,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,9,0,3,1,0.74,0.697,0.7,0.2537,0,1.3969999999999998,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,6,0,0,0,0.52,0.5,1.0,0.1343,1,1.5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,5,0,6,0,0.3,0.303,1.0,0.1343,1,1.303,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,9,0,2,1,0.56,0.5303,0.73,0.4179,0,1.2603,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,0,1,1,0.14,0.1061,0.5,0.3881,0,0.6061,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,11,0,0,0,0.62,0.6212,0.53,0.0896,1,1.1512,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12,18,0,0,0,0.3,0.303,0.45,0.1642,1,0.753,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,3,0,3,1,0.64,0.5758,0.89,0.0896,0,1.4658,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,18,0,4,1,0.3,0.303,0.56,0.1343,0,0.863,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,8,0,5,1,0.28,0.303,0.75,0.0896,0,1.053,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0,0,5,1,0.7,0.6515,0.65,0.0896,0,1.3014999999999999,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,13,0,2,1,0.76,0.6818,0.48,0.2985,0,1.1618,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,0,0,6,0,0.7,0.6515,0.61,0.0,1,1.2614999999999998,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,22,0,3,1,0.74,0.6515,0.37,0.0,0,1.0215,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,15,0,1,1,0.58,0.5455,0.6,0.1642,0,1.1455,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,11,0,1,1,0.58,0.5455,0.46,0.0,0,1.0055,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5,5,0,3,1,0.62,0.5909,0.78,0.1343,0,1.3709,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,23,0,2,1,0.72,0.6818,0.66,0.1642,0,1.3418,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,21,0,0,0,0.52,0.5,0.72,0.0896,1,1.22,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,11,0,6,0,0.28,0.2727,0.38,0.1642,1,0.6527000000000001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,21,0,1,1,0.38,0.3939,0.54,0.2239,0,0.9339,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12,0,0,3,1,0.5,0.4848,0.59,0.2836,0,1.0748,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,11,0,6,0,0.86,0.803,0.47,0.2537,1,1.2730000000000001,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,10,0,2,1,0.3,0.2727,0.42,0.2985,0,0.6927,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,4,0,5,1,0.46,0.4545,0.67,0.2537,0,1.1245,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,15,0,6,0,0.6,0.6212,0.38,0.2537,1,1.0011999999999999,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,5,0,5,1,0.46,0.4545,0.77,0.1045,0,1.2245,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,15,0,2,1,0.82,0.7424,0.43,0.0,0,1.1723999999999999,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,19,0,3,1,0.26,0.2576,0.93,0.2239,0,1.1876,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,18,0,3,1,0.34,0.3182,0.76,0.2537,0,1.0782,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,22,0,4,1,0.3,0.3333,0.56,0.0,0,0.8933,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,10,0,0,0,0.54,0.5152,0.45,0.2537,1,0.9652000000000001,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4,20,0,6,0,0.5,0.4848,0.82,0.2985,1,1.3048,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,4,0,1,1,0.14,0.1667,0.69,0.1045,0,0.8566999999999999,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,14,0,0,0,0.38,0.3939,0.76,0.1343,1,1.1539,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7,13,0,1,1,0.86,0.7576,0.34,0.2239,0,1.0976000000000001,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,16,0,3,1,0.76,0.7273,0.7,0.2537,0,1.4272999999999998,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,12,0,2,1,0.6,0.6061,0.6,0.2836,0,1.2061,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,22,0,0,0,0.6,0.6061,0.6,0.194,1,1.2061,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,13,0,6,0,0.68,0.6364,0.36,0.194,1,0.9964,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,10,0,5,1,0.64,0.6212,0.57,0.1642,0,1.1911999999999998,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,4,0,2,1,0.66,0.6212,0.69,0.1642,0,1.3112,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,3,0,2,1,0.66,0.6212,0.74,0.2239,0,1.3612,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,20,0,3,1,0.32,0.303,0.57,0.2836,0,0.873,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12,14,0,0,0,0.44,0.4394,0.62,0.2537,1,1.0594000000000001,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,10,0,4,1,0.82,0.8636,0.71,0.2239,0,1.5735999999999999,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,14,0,1,1,0.32,0.2879,0.36,0.4179,0,0.6478999999999999,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,5,0,2,1,0.66,0.6061,0.83,0.0896,0,1.4361,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,17,0,0,0,0.7,0.6364,0.42,0.3284,1,1.0564,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,21,0,1,1,0.24,0.2576,0.93,0.0896,0,1.1876,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,16,0,5,1,0.32,0.303,0.45,0.2239,0,0.753,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,1,1,5,0,0.32,0.303,0.57,0.3284,0,0.873,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,13,0,5,1,0.46,0.4545,0.38,0.2985,0,0.8345,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,19,0,2,1,0.74,0.6818,0.58,0.4627,0,1.2618,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,21,0,2,1,0.74,0.7121,0.74,0.2537,0,1.4521,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,11,0,5,1,0.32,0.3182,0.76,0.194,0,1.0782,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,22,0,2,1,0.58,0.5455,0.83,0.4627,0,1.3755,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11,22,0,1,1,0.58,0.5455,0.56,0.3582,0,1.1055000000000001,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,11,0,1,1,0.72,0.6515,0.34,0.3284,0,0.9915,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,5,0,6,0,0.14,0.1515,0.5,0.1343,1,0.6515,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,4,0,6,0,0.26,0.2273,0.48,0.3284,1,0.7073,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,23,0,4,1,0.62,0.5455,0.94,0.0,0,1.4855,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12,5,0,0,0,0.26,0.303,0.93,0.0,1,1.233,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5,11,0,3,1,0.54,0.5152,0.94,0.0896,0,1.4552,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,15,0,5,1,0.86,0.2424,0.3,0.4627,0,0.5424,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,6,0,5,1,0.54,0.5152,0.94,0.1642,0,1.4552,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,18,0,4,1,0.62,0.6212,0.38,0.5522,0,1.0011999999999999,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,20,0,5,1,0.2,0.2273,0.34,0.0896,0,0.5673,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,15,0,5,1,0.7,0.6515,0.61,0.2537,0,1.2614999999999998,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
